Component	Percentile Rank	# Compatible Public Results	Milliseconds (Average)
Intel Xeon E5-2609 v4	17th	21	2600 +/- 63
Intel Core 2 Duo T7700	17th	5	2605 +/- 214
Intel Xeon E3-12xx v2	17th	7	2620 +/- 5
Intel Core i3-3110M	17th	10	2620 +/- 335
Loongson-3A5000LL	16th	8	2834 +/- 26
ZHAOXIN KaiXian KX-6640MA	14th	5	3377 +/- 64
Intel Celeron N3350	13th	6	3497 +/- 426
Intel Core 2 Duo T7100	13th	9	3534 +/- 11
Intel Pentium N4200	13th	4	3789 +/- 369
Intel Celeron J3455	12th	14	3918 +/- 355
Intel Core 2 Duo P7350	12th	19	3995 +/- 483
ARMv8 Cortex-A73 8-Core	12th	5	4143 +/- 427
ARMv8 Cortex-A72 16-Core	11th	8	4348 +/- 461
ARMv8 Cortex-A57 6-Core	10th	5	4566 +/- 30
Intel Celeron N2830	10th	5	4798 +/- 140
ARMv7 Cortex-A72 4-Core	10th	92	4808 +/- 638
POWER9 altivec supported 64-Core	10th	11	4859 +/- 6
ARMv8 rev 3 6-Core	10th	7	4859 +/- 515
AMD A6-3410MX APU	9th	4	4953 +/- 40
ARMv7 rev 3 4-Core	9th	38	5088 +/- 416
ARMv8 Cortex-A72 6-Core	9th	16	5107 +/- 293
ARMVv8 Cortex-A73 6-Core	9th	6	5185 +/- 262
ARMv7 4-Core	6th	6	6614 +/- 747
rv64imafdcvsu	6th	9	6748 +/- 285
ARMv8 Cortex-A57 4-Core	6th	8	6749 +/- 158
ARMv8 rev 1 4-Core	6th	20	6862 +/- 301
Intel Core i5 460M	6th	4	6931 +/- 302
Intel Atom x5-Z8350	6th	13	7000 +/- 700
Ky X1	5th	5	8406 +/- 31
ARMv7 rev 1 4-Core	4th	31	9157 +/- 1325
Rockchip ARMv8 Cortex-A53 4-Core	3rd	5	14791 +/- 1370
ARMv7 rev 4 4-Core	2nd	59	20726 +/- 2999
ARMv7 Cortex-A7 4-Core	1st	6	21459 +/- 2343
