Model and Mult,FinanceBench,amg,hpcg,linux_kernel,miniFE,nqueens,numenta_nab,numpy,nwchem,openfoam,openradioss,pybench,specfem3d,stockfish,tensorflow
AMD EPYC 9965 x 2,,22.48625762258269,,,11.035002560879946,,,6.61472560020376,-7.351158226430694,-4.356708826689592,-2.995732273553991,-6.3784261836515865,,20.275339820156574,
AMD FX-6300 Six-Core x 1,,,,,,,,,,,,-7.512071245835466,,,
AMD FX-8150 Eight-Core x 1,,,,,,,,4.919980925828125,,,,-7.5678626054638825,,,
AMD FX-8350 Eight-Core x 1,,,,,,-3.6635616461296463,,,,,,-7.737616282857904,,,
AMD FX-8370 Eight-Core x 1,,18.59204365688307,,,,,,5.0106352940962555,,,,,,,
AMD Phenom 9650 x 1,,,,,,-4.382026634673881,,,,,,,,,
AMD Phenom II X3 720 x 1,,,,,,-4.48863636973214,,,,,,,,,
AMD RYZEN AI MAX PRO 390 x 1,,,2.70805020110221,,9.741321501945738,,,,,,-4.143134726391533,,,,
AMD RYZEN AI MAX+ 395 x 1,-10.264478170542462,,,,,,,,,-6.934397209928558,-3.828641396489095,-6.118097198041348,,,
AMD RYZEN AI MAX+ PRO 395 x 1,,,,,,,,,,,-4.007333185232471,-6.118097198041348,,,
AMD Ryzen 3 1300X x 1,,19.28772562924963,,,,,,5.602118820879701,,,,,,,
AMD Ryzen 3 2200G x 1,,19.19355781403258,,,,-4.02535169073515,,5.5254529391317835,,,,,,,
AMD Ryzen 3 3100 x 1,,,,,,,,5.771441123130016,,,,-6.943122422819428,,,
AMD Ryzen 3 3200G x 1,,,,,,,,5.517452896464707,,,,,,,
AMD Ryzen 3 3200U x 1,,18.468330343639636,,,,,,5.389071729816501,,,,,,,-10.060491301345794
AMD Ryzen 3 3300X x 1,,19.267251485767204,,,,,,6.028278520230698,-9.671681590643265,,,-6.837332814685591,,,-8.282230063296685
AMD Ryzen 5 1500X x 1,,,,,,-3.4965075614664802,,,,,,,,,
AMD Ryzen 5 1600 Six-Core x 1,,,,,,-3.1780538303479458,,,,,,,,,
