Model and Mult,FinanceBench,amg,hpcg,linux_kernel,miniFE,nqueens,numenta_nab,numpy,nwchem,openfoam,openradioss,pybench,specfem3d,stockfish,tensorflow
Intel Xeon Gold 6338 x 1,,,,,,,,,0.0010927765347437711,,,,,,
Intel Xeon Gold 6338 x 2,,,,,,,,,0.0030598225594680403,,,,,,
Intel Xeon Gold 6342 x 1,,0.0008315632091631313,,0.01804412333541936,,,,,0.03222214805110297,,,0.005773208147973821,,,0.0007710100231303007
Intel Xeon Gold 6342 x 2,,0.002777999442918407,,0.01627567935404105,,,,,0.015021459227467811,,,0.005360836137404262,,,0.0007197696737044146
Intel Xeon Gold 6346 x 1,,0.0007988404925576595,,0.021552462433732912,,,,,0.0362186869730783,,,0.00511366897141324,,,0.001890472394203097
Intel Xeon Gold 6346 x 2,,0.0033861365705715398,,0.018144368465060578,,,,,0.018681611956231654,,,0.004672977310200306,,,0.0027502750275027505
Intel Xeon Gold 6414U x 1,,,,,,,,,,,,,0.5773502691896258,,
Intel Xeon Gold 6442Y x 1,,0.0005078577582846299,,,0.001619969189285207,,,0.008714721044371711,,0.0035204284706684503,,,,,
Intel Xeon Gold 6442Y x 2,,0.02195270017024041,,,0.028410886724967076,,,0.007683368601382853,,0.0018155668842441063,,,,,
Intel Xeon Gold 6444Y x 2,,,0.5,,,,,,,,,,0.5,,
Intel Xeon L5640 x 2,,,,0.0012933650961833862,,,,,,,,,,,
Intel Xeon Max 9468 x 1,,,,,0.04759411392336252,,,0.0032679738562091504,0.0031779884401891994,0.0011312217194570137,,,,0.014342787294886073,
Intel Xeon Max 9468 x 2,,,,,0.04498799013537336,,,0.011387383218748928,,,0.011404948083653992,,,0.018222193095646436,
Intel Xeon Max 9480 x 1,,0.0005307388454732558,,,0.020855120985292155,,,0.008733624454148471,0.0006690454950936663,,,0.03572605042510363,,0.005823024291092572,
Intel Xeon Max 9480 x 2,,,0.021752948871577613,,0.019894360628775656,,,0.013375167712127716,,0.01924304022560123,,0.024427854169810224,0.408248290463863,,
Intel Xeon Platinum 8253 x 1,,,,,,,,0.011320754716981131,,,,,,,
Intel Xeon Platinum 8259L x 2,,,,,,,,0.014614823382351568,,,,0.00035719935742808143,,,
Intel Xeon Platinum 8260 x 2,,,,0.0011953421722352502,,,,,,,,,,,
Intel Xeon Platinum 8272CL x 2,,,,,,,,0.014150943396226415,,,,,,,
Intel Xeon Platinum 8280 x 1,0.5773502691896258,0.03269596440184186,,,,,0.5773502691896257,0.016711918323082112,0.016289236922183897,,,,,,
Intel Xeon Platinum 8280 x 2,,0.027306598156000745,,0.408248290463863,,0.2085144140570748,0.011664236870396088,0.008738604149508323,0.004335097199934421,0.0008389261744966443,,0.011891830073654202,,,0.0028935597217640443
Intel Xeon Platinum 8362 x 1,,0.0006556398177177813,,0.034951697910582724,,,,,,0.0006682294782287336,,,,,
Intel Xeon Platinum 8362 x 2,,0.0023674795530069185,,0.014793028895116056,,,,0.0024330900243309003,0.022046169308678434,0.003740648379052369,,0.004728594730156953,,,0.009373828271466067
Intel Xeon Platinum 8380 x 1,,0.018423247461939355,,0.013207147529172123,0.0006826160447276037,,,0.0012531328320802004,0.020437540699353787,0.001125065649056498,,0.007196597971867844,,0.5773502691896258,0.0007087172218284905
Intel Xeon Platinum 8380 x 2,,0.00683027925979174,0.5,0.010352166562499028,,,0.047105571976599585,0.009851093663538367,0.0174323896749409,0.0021397698045344847,,0.008774429361211561,,,0.022822130569833666
Intel Xeon Platinum 8462Y+ x 1,,0.003980593243808828,,,0.004589133658426368,,,0.0031839169256780834,,0.005671186899455988,,,,,
Intel Xeon Platinum 8462Y+ x 2,,0.01652380849650271,0.5,,0.03988630561925971,,,,,0.003816793893129771,,,,,
